source,NR,WR,SR,ER,NER,All India,date
Hydro,296.0,48.0,76.0,45.0,7.0,472,2015-05-11
Total,934.0,991.0,777.0,362.0,39.0,3103,2015-05-11
Hydro,296.0,46.0,72.0,41.0,7.0,461,2015-05-12
Total,916.0,997.0,774.0,343.0,36.0,3067,2015-05-12
Wind Gen(MU),6.0,26.0,8.0,0.0,0.0,41,2015-05-12
Wind Gen(MU),4.0,24.0,7.0,0.0,0.0,35,2015-05-13
Hydro,284.0,44.0,70.0,38.0,8.0,443,2015-05-13
Total,888.0,975.0,745.0,348.0,36.0,2991,2015-05-13
Total,879.0,956.0,751.0,354.0,38.0,2978,2015-05-14
Hydro,284.0,51.0,67.0,38.0,8.0,449,2015-05-14
Wind Gen(MU),3.0,14.0,10.0,0.0,0.0,28,2015-05-14
Hydro,285.0,54.0,67.0,42.0,10.0,459,2015-05-15
Wind Gen(MU),5.0,19.0,8.0,0.0,0.0,33,2015-05-15
Total,889.0,972.0,750.0,359.0,35.0,3006,2015-05-15
Hydro,279.0,50.0,62.0,49.0,14.0,453,2015-05-16
Wind Gen(MU),17.0,25.0,7.0,0.0,0.0,48,2015-05-16
Total,887.0,978.0,708.0,343.0,37.0,2954,2015-05-16
Total,906.0,958.0,659.0,331.0,35.0,2890,2015-05-17
Wind Gen(MU),21.0,39.0,8.0,0.0,0.0,68,2015-05-17
Hydro,282.0,37.0,43.0,50.0,9.0,421,2015-05-17
Hydro,283.0,42.0,52.0,45.0,8.0,430,2015-05-18
Total,934.0,992.0,696.0,351.0,36.0,3009,2015-05-18
Wind Gen(MU),19.0,48.0,23.0,0.0,0.0,91,2015-05-18
Wind Gen(MU),11.0,57.0,40.0,0.0,0.0,108,2015-05-19
Hydro,292.0,36.0,52.0,46.0,9.0,436,2015-05-19
Total,920.0,997.0,732.0,361.0,39.0,3050,2015-05-19
Wind Gen(MU),3.0,45.0,39.0,0.0,0.0,88,2015-05-20
Total,881.0,994.0,758.0,372.0,39.0,3044,2015-05-20
Hydro,304.0,68.0,57.0,47.0,9.0,485,2015-05-20
Total,954.0,1006.0,788.0,374.0,41.0,3163,2015-05-21
Wind Gen(MU),13.0,55.0,61.0,0.0,0.0,129,2015-05-21
Hydro,304.0,55.0,55.0,50.0,10.0,473,2015-05-21
Wind Gen(MU),17.0,59.0,63.0,0.0,0.0,139,2015-05-22
Hydro,305.0,58.0,62.0,47.0,9.0,480,2015-05-22
Total,969.0,1002.0,816.0,377.0,37.0,3201,2015-05-22
Total,975.0,990.0,811.0,375.0,31.0,3182,2015-05-23
Hydro,300.0,51.0,63.0,43.0,7.0,463,2015-05-23
Wind Gen(MU),19.0,76.0,61.0,0.0,0.0,155,2015-05-23
Hydro,300.0,48.0,61.0,47.0,8.0,464,2015-05-24
Total,951.0,959.0,777.0,369.0,31.0,3087,2015-05-24
Wind Gen(MU),18.0,85.0,57.0,0.0,0.0,160,2015-05-24
Wind Gen(MU),21.0,82.0,71.0,0.0,0.0,175,2015-05-25
Hydro,297.0,47.0,77.0,46.0,9.0,476,2015-05-25
Total,1000.0,997.0,815.0,370.0,33.0,3215,2015-05-25
Hydro,291.0,54.0,80.0,41.0,11.0,477,2015-05-26
Total,1006.0,1006.0,844.0,357.0,34.0,3247,2015-05-26
Wind Gen(MU),13.0,73.0,79.0,0.0,0.0,165,2015-05-26
Wind Gen(MU),21.0,62.0,67.0,0.0,0.0,150,2015-05-27
Total,1005.0,1024.0,820.0,368.0,35.0,3251,2015-05-27
Hydro,280.0,59.0,76.0,45.0,11.0,471,2015-05-27
Wind Gen(MU),16.0,53.0,34.0,0.0,0.0,103,2015-05-28
Total,986.0,1017.0,771.0,377.0,35.0,3186,2015-05-28
Hydro,280.0,58.0,71.0,44.0,11.0,465,2015-05-28
Wind Gen(MU),16.0,40.0,50.0,0.0,0.0,105,2015-05-29
Hydro,296.0,53.0,63.0,41.0,12.0,464,2015-05-29
Total,1025.0,1008.0,783.0,383.0,34.0,3232,2015-05-29
Hydro,298.0,36.0,58.0,41.0,13.0,446,2015-05-30
Wind Gen(MU),7.0,37.0,27.0,0.0,0.0,71,2015-05-30
Total,1016.0,992.0,761.0,382.0,35.0,3185,2015-05-30
Wind Gen(MU),16.0,62.0,35.0,0.0,0.0,113,2015-06-01
Total,949.0,974.0,734.0,360.0,35.0,3052,2015-06-01
Hydro,287.0,36.0,46.0,45.0,11.0,424,2015-06-01
Wind Gen(MU),9.0,37.0,43.0,0.0,0.0,89,2015-06-01
Total,887.0,977.0,726.0,366.0,34.0,2989,2015-06-01
Hydro,278.0,33.0,55.0,44.0,14.0,424,2015-06-01
Hydro,256.0,32.0,55.0,45.0,16.0,404,2015-06-03
Wind Gen(MU),8.0,67.0,50.0,0.0,0.0,125,2015-06-03
Total,906.0,971.0,745.0,374.0,35.0,3030,2015-06-03
Total,885.0,964.0,752.0,372.0,36.0,3009,2015-06-04
Hydro,251.0,37.0,58.0,42.0,13.0,401,2015-06-04
Wind Gen(MU),5.0,27.0,21.0,0.0,0.0,53,2015-06-04
Total,898.0,980.0,761.0,372.0,38.0,3049,2015-06-05
Hydro,250.0,50.0,58.0,48.0,13.0,417,2015-06-05
Wind Gen(MU),5.0,17.0,21.0,0.0,0.0,43,2015-06-05
Total,931.0,966.0,755.0,372.0,38.0,3062,2015-06-06
Hydro,249.0,25.0,56.0,39.0,13.0,382,2015-06-06
Wind Gen(MU),3.0,22.0,26.0,0.0,0.0,51,2015-06-06
Total,954.0,971.0,744.0,369.0,37.0,3074,2015-06-07
Hydro,267.0,28.0,54.0,39.0,14.0,402,2015-06-07
Wind Gen(MU),5.0,21.0,33.0,0.0,0.0,60,2015-06-07
Hydro,274.0,17.0,41.0,37.0,18.0,387,2015-06-08
Total,972.0,936.0,707.0,358.0,37.0,3010,2015-06-08
Wind Gen(MU),9.0,25.0,44.0,0.0,0.0,79,2015-06-08
Total,1009.0,939.0,749.0,372.0,38.0,3107,2015-06-09
Hydro,289.0,23.0,46.0,41.0,18.0,416,2015-06-09
Wind Gen(MU),12.0,22.0,54.0,0.0,0.0,88,2015-06-09
Hydro,294.0,21.0,45.0,44.0,17.0,422,2015-06-10
Wind Gen(MU),23.0,32.0,59.0,0.0,0.0,113,2015-06-10
Hydro,299.0,21.0,54.0,50.0,17.0,441,2015-06-10
Total,1035.0,956.0,767.0,375.0,31.0,3164,2015-06-10
Total,1013.0,949.0,763.0,373.0,37.0,3136,2015-06-10
Wind Gen(MU),14.0,37.0,63.0,0.0,0.0,114,2015-06-10
Hydro,311.0,23.0,38.0,56.0,18.0,445,2015-06-11
Total,1030.0,935.0,788.0,356.0,34.0,3143,2015-06-11
Wind Gen(MU),14.0,23.0,74.0,0.0,0.0,110,2015-06-11
Hydro,254.0,18.0,40.0,60.0,16.0,387,2015-06-12
Wind Gen(MU),19.0,31.0,64.0,0.0,0.0,114,2015-06-12
Total,1049.0,908.0,769.0,338.0,35.0,3099,2015-06-12
Wind Gen(MU),28.0,42.0,72.0,0.0,0.0,142,2015-06-13
Total,941.0,876.0,758.0,343.0,34.0,2953,2015-06-13
Hydro,283.0,14.0,33.0,53.0,15.0,398,2015-06-13
Total,891.0,827.0,697.0,325.0,35.0,2775,2015-06-14
Hydro,292.0,20.0,28.0,47.0,17.0,403,2015-06-14
Wind Gen(MU),23.0,58.0,59.0,0.0,0.0,140,2015-06-14
Total,978.0,861.0,740.0,336.0,35.0,2950,2015-06-15
Hydro,300.0,21.0,33.0,51.0,17.0,422,2015-06-15
Wind Gen(MU),18.0,60.0,68.0,0.0,0.0,146,2015-06-15
Total,999.0,874.0,744.0,346.0,37.0,2999,2015-06-16
Hydro,281.0,25.0,31.0,55.0,17.0,408,2015-06-16
Wind Gen(MU),8.0,35.0,67.0,0.0,0.0,110,2015-06-16
Total,1055.0,867.0,734.0,353.0,38.0,3047,2015-06-17
Hydro,297.0,25.0,26.0,53.0,16.0,418,2015-06-17
Wind Gen(MU),7.0,26.0,71.0,0.0,0.0,104,2015-06-17
Total,1074.0,866.0,720.0,368.0,38.0,3065,2015-06-18
Wind Gen(MU),2.0,33.0,66.0,0.0,0.0,101,2015-06-18
Hydro,306.0,19.0,27.0,53.0,17.0,422,2015-06-18
Hydro,319.0,22.0,32.0,52.0,17.0,442,2015-06-19
Wind Gen(MU),8.0,36.0,75.0,0.0,0.0,119,2015-06-19
Total,1107.0,851.0,698.0,361.0,39.0,3057,2015-06-19
Hydro,317.0,22.0,39.0,45.0,15.0,438,2015-06-20
Wind Gen(MU),10.0,49.0,77.0,0.0,0.0,137,2015-06-20
Total,1067.0,864.0,677.0,351.0,40.0,2999,2015-06-20
Wind Gen(MU),5.0,65.0,77.0,0.0,0.0,147,2015-06-21
Hydro,308.0,21.0,36.0,47.0,15.0,427,2015-06-21
Total,1012.0,834.0,633.0,333.0,38.0,2849,2015-06-21
Wind Gen(MU),5.0,54.0,94.0,0.0,0.0,153,2015-06-22
Hydro,326.0,27.0,51.0,50.0,14.0,468,2015-06-22
Total,1062.0,816.0,674.0,330.0,36.0,2918,2015-06-22
Hydro,322.0,29.0,59.0,70.0,16.0,495,2015-06-23
Total,1036.0,811.0,725.0,341.0,37.0,2950,2015-06-23
Wind Gen(MU),10.0,51.0,87.0,0.0,0.0,148,2015-06-23
Total,997.0,732.0,749.0,345.0,39.0,2862,2015-06-24
Wind Gen(MU),6.0,70.0,101.0,0.0,0.0,176,2015-06-24
Hydro,323.0,25.0,62.0,67.0,17.0,492,2015-06-24
Hydro,300.0,33.0,61.0,70.0,18.0,481,2015-06-25
Wind Gen(MU),6.0,87.0,111.0,0.0,0.0,203,2015-06-25
Total,895.0,768.0,753.0,346.0,40.0,2802,2015-06-25
Wind Gen(MU),18.0,83.0,113.0,0.0,0.0,215,2015-06-26
Total,969.0,808.0,777.0,349.0,38.0,2941,2015-06-26
Hydro,290.0,18.0,65.0,70.0,16.0,459,2015-06-26
Total,1029.0,852.0,758.0,331.0,36.0,3006,2015-06-27
Wind Gen(MU),18.0,87.0,102.0,0.0,0.0,207,2015-06-27
Hydro,299.0,36.0,62.0,67.0,20.0,484,2015-06-27
Hydro,312.0,33.0,64.0,70.0,21.0,501,2015-06-28
Wind Gen(MU),15.0,57.0,92.0,0.0,0.0,164,2015-06-28
Total,1030.0,853.0,742.0,314.0,38.0,2977,2015-06-28
Wind Gen(MU),16.0,50.0,77.0,0.0,0.0,144,2015-06-29
Hydro,323.0,27.0,71.0,69.0,22.0,512,2015-06-29
Total,983.0,891.0,789.0,338.0,39.0,3040,2015-06-29
Wind Gen(MU),14.0,57.0,76.0,0.0,0.0,147,2015-06-30
Total,948.0,908.0,802.0,344.0,42.0,3044,2015-06-30
Hydro,325.0,25.0,64.0,72.0,22.0,508,2015-06-30
Total,993.0,902.0,810.0,353.0,41.0,3098,2015-07-01
Hydro,324.0,20.0,79.0,68.0,19.0,511,2015-07-01
Wind Gen(MU),22.0,73.0,89.0,0.0,0.0,184,2015-07-01
Total,1036.0,915.0,818.0,351.0,41.0,3161,2015-07-02
Hydro,328.0,22.0,79.0,70.0,19.0,518,2015-07-02
Wind Gen(MU),21.0,69.0,89.0,0.0,0.0,179,2015-07-02
Hydro,328.0,21.0,76.0,77.0,19.0,521,2015-07-04
Total,1093.0,941.0,818.0,357.0,40.0,3248,2015-07-04
Wind Gen(MU),34.0,96.0,111.0,0.0,0.0,241,2015-07-04
Wind Gen(MU),34.0,114.0,112.0,0.0,0.0,260,2015-07-05
Total,1090.0,914.0,787.0,350.0,39.0,3179,2015-07-05
Hydro,326.0,13.0,63.0,73.0,23.0,497,2015-07-05
Total,1014.0,945.0,823.0,355.0,39.0,3176,2015-07-06
Hydro,318.0,17.0,74.0,73.0,21.0,504,2015-07-06
Wind Gen(MU),32.0,117.0,124.0,0.0,0.0,273,2015-07-06
Total,1000.0,965.0,841.0,362.0,40.0,3208,2015-07-07
Wind Gen(MU),20.0,104.0,118.0,0.0,0.0,242,2015-07-07
Hydro,322.0,22.0,89.0,76.0,21.0,529,2015-07-07
Wind Gen(MU),14.0,91.0,127.0,0.0,0.0,232,2015-07-08
Total,1015.0,962.0,846.0,351.0,38.0,3213,2015-07-08
Hydro,333.0,26.0,84.0,70.0,20.0,533,2015-07-08
Total,1011.0,945.0,840.0,348.0,41.0,3185,2015-07-09
Hydro,311.0,20.0,75.0,69.0,19.0,495,2015-07-09
Wind Gen(MU),27.0,103.0,120.0,0.0,0.0,250,2015-07-09
Wind Gen(MU),27.0,108.0,120.0,0.0,0.0,254,2015-07-10
Hydro,285.0,19.0,77.0,72.0,19.0,472,2015-07-10
Total,921.0,947.0,847.0,317.0,41.0,3073,2015-07-10
Hydro,320.0,29.0,71.0,82.0,21.0,524,2015-07-11
Wind Gen(MU),7.0,81.0,117.0,0.0,0.0,204,2015-07-11
Total,860.0,945.0,837.0,327.0,40.0,3010,2015-07-11
Total,941.0,1014.0,858.0,365.0,39.0,3217,2015-07-14
Wind Gen(MU),30.0,54.0,90.0,0.0,0.0,173,2015-07-14
Hydro,338.0,58.0,85.0,73.0,18.0,572,2015-07-14
Wind Gen(MU),33.0,79.0,92.0,0.0,0.0,204,2015-07-15
Hydro,331.0,37.0,77.0,76.0,21.0,541,2015-07-15
Total,1015.0,1033.0,833.0,372.0,37.0,3289,2015-07-15
Wind Gen(MU),24.0,90.0,112.0,0.0,0.0,226,2015-07-16
Total,1021.0,1029.0,836.0,350.0,40.0,3276,2015-07-16
Hydro,303.0,39.0,70.0,81.0,24.0,516,2015-07-16
Hydro,317.0,25.0,62.0,76.0,23.0,503,2015-07-17
Total,1014.0,1015.0,822.0,341.0,41.0,3234,2015-07-17
Wind Gen(MU),17.0,93.0,121.0,0.0,0.0,231,2015-07-17
Wind Gen(MU),10.0,90.0,112.0,0.0,0.0,211,2015-07-18
Hydro,334.0,13.0,59.0,66.0,20.0,492,2015-07-18
Total,1008.0,968.0,804.0,333.0,41.0,3154,2015-07-18
Total,967.0,900.0,740.0,330.0,39.0,2976,2015-07-19
Hydro,336.0,11.0,51.0,68.0,19.0,486,2015-07-19
Total,976.0,921.0,773.0,339.0,38.0,3048,2015-07-19
Wind Gen(MU),15.0,90.0,103.0,0.0,0.0,208,2015-07-19
Wind Gen(MU),8.0,78.0,99.0,0.0,0.0,185,2015-07-19
Hydro,336.0,22.0,63.0,76.0,18.0,515,2015-07-19
Total,991.0,907.0,799.0,343.0,39.0,3079,2015-07-21
Hydro,324.0,23.0,60.0,73.0,20.0,501,2015-07-21
Wind Gen(MU),5.0,55.0,102.0,0.0,0.0,161,2015-07-21
Wind Gen(MU),3.0,40.0,89.0,0.0,0.0,132,2015-07-22
Hydro,296.0,30.0,54.0,73.0,22.0,475,2015-07-22
Total,1018.0,876.0,792.0,336.0,39.0,3061,2015-07-22
Total,1043.0,870.0,788.0,342.0,39.0,3082,2015-07-23
Hydro,344.0,29.0,57.0,77.0,24.0,532,2015-07-23
Wind Gen(MU),2.0,29.0,91.0,0.0,0.0,122,2015-07-23
Wind Gen(MU),3.0,50.0,83.0,0.0,0.0,136,2015-07-24
Total,1040.0,854.0,798.0,341.0,38.0,3070,2015-07-24
Hydro,359.0,28.0,69.0,75.0,25.0,555,2015-07-24
Wind Gen(MU),4.0,88.0,102.0,0.0,0.0,194,2015-07-25
Hydro,355.0,26.0,71.0,76.0,25.0,552,2015-07-25
Total,1026.0,819.0,805.0,340.0,37.0,3027,2015-07-25
Total,950.0,812.0,762.0,314.0,41.0,2878,2015-07-26
Hydro,350.0,27.0,57.0,64.0,20.0,519,2015-07-26
Wind Gen(MU),7.0,101.0,94.0,0.0,0.0,202,2015-07-26
Wind Gen(MU),11.0,103.0,88.0,0.0,0.0,201,2015-07-27
Hydro,372.0,38.0,82.0,67.0,20.0,579,2015-07-27
Total,999.0,793.0,792.0,320.0,40.0,2944,2015-07-27
Hydro,377.0,52.0,90.0,72.0,18.0,608,2015-07-28
Wind Gen(MU),4.0,90.0,74.0,0.0,0.0,168,2015-07-28
Total,1006.0,777.0,810.0,327.0,41.0,2961,2015-07-28
Hydro,374.0,52.0,100.0,76.0,18.0,619,2015-07-29
Total,1007.0,793.0,821.0,350.0,42.0,3011,2015-07-29
Wind Gen(MU),6.0,97.0,79.0,0.0,0.0,182,2015-07-29
Total,1012.0,819.0,834.0,347.0,40.0,3051,2015-07-30
Hydro,374.0,54.0,94.0,76.0,18.0,616,2015-07-30
Wind Gen(MU),12.0,95.0,90.0,0.0,0.0,197,2015-07-30
Total,1009.0,840.0,827.0,341.0,37.0,3055,2015-07-31
Hydro,365.0,65.0,106.0,83.0,18.0,636,2015-07-31
Wind Gen(MU),22.0,85.0,77.0,0.0,0.0,183,2015-07-31
Total,967.0,850.0,801.0,319.0,40.0,2976,2015-08-01
Hydro,361.0,60.0,98.0,80.0,22.0,622,2015-08-01
Wind Gen(MU),19.0,85.0,66.0,0.0,0.0,170,2015-08-01
Wind Gen(MU),14.0,72.0,59.0,0.0,0.0,146,2015-08-02
Hydro,372.0,54.0,72.0,76.0,23.0,597,2015-08-02
Total,940.0,834.0,770.0,306.0,40.0,2890,2015-08-02
Wind Gen(MU),16.0,66.0,71.0,0.0,0.0,152,2015-08-03
Total,992.0,854.0,788.0,328.0,41.0,3003,2015-08-03
Hydro,371.0,53.0,89.0,80.0,20.0,613,2015-08-03
Wind Gen(MU),14.0,86.0,92.0,0.0,0.0,192,2015-08-04
Hydro,324.0,44.0,79.0,81.0,20.0,548,2015-08-04
Total,1015.0,836.0,793.0,344.0,40.0,3027,2015-08-04
Wind Gen(MU),14.0,94.0,101.0,0.0,0.0,209,2015-08-05
Hydro,330.0,57.0,71.0,80.0,20.0,558,2015-08-05
Total,1025.0,821.0,787.0,348.0,40.0,3020,2015-08-05
Hydro,364.0,63.0,68.0,75.0,20.0,590,2015-08-06
Total,1048.0,840.0,796.0,357.0,42.0,3083,2015-08-06
Wind Gen(MU),11.0,82.0,97.0,0.0,0.0,190,2015-08-06
Wind Gen(MU),17.0,55.0,102.0,0.0,0.0,174,2015-08-07
Hydro,367.0,60.0,76.0,64.0,22.0,589,2015-08-07
Total,1033.0,875.0,812.0,361.0,40.0,3121,2015-08-07
Hydro,363.0,58.0,76.0,82.0,22.0,602,2015-08-08
Total,1004.0,900.0,819.0,365.0,40.0,3128,2015-08-08
Wind Gen(MU),18.0,41.0,113.0,0.0,0.0,171,2015-08-08
Total,960.0,887.0,778.0,361.0,39.0,3025,2015-08-09
Hydro,334.0,63.0,58.0,84.0,21.0,559,2015-08-09
Wind Gen(MU),14.0,29.0,104.0,0.0,0.0,147,2015-08-09
Wind Gen(MU),9.0,23.0,110.0,0.0,0.0,142,2015-08-10
Hydro,330.0,75.0,90.0,88.0,22.0,605,2015-08-10
Total,991.0,923.0,809.0,373.0,41.0,3136,2015-08-10
Wind Gen(MU),2.0,19.0,116.0,0.0,0.0,138,2015-08-11
Hydro,368.0,72.0,94.0,84.0,21.0,639,2015-08-11
Total,1003.0,918.0,803.0,371.0,41.0,3136,2015-08-11
Wind Gen(MU),2.0,26.0,112.0,0.0,0.0,140,2015-08-12
Hydro,363.0,75.0,104.0,82.0,21.0,644,2015-08-12
Total,995.0,903.0,794.0,371.0,39.0,3102,2015-08-12
Hydro,380.0,93.0,95.0,81.0,22.0,670,2015-08-13
Total,1021.0,891.0,795.0,376.0,42.0,3125,2015-08-13
Wind Gen(MU),6.0,35.0,98.0,0.0,0.0,139,2015-08-13
Hydro,371.0,99.0,99.0,75.0,21.0,665,2015-08-14
Wind Gen(MU),4.0,33.0,96.0,0.0,0.0,132,2015-08-14
Total,1027.0,882.0,809.0,374.0,41.0,3133,2015-08-14
Wind Gen(MU),6.0,39.0,82.0,0.0,0.0,128,2015-08-15
Total,945.0,818.0,778.0,358.0,39.0,2938,2015-08-15
Hydro,369.0,97.0,90.0,73.0,21.0,649,2015-08-15
Hydro,371.0,58.0,96.0,71.0,23.0,618,2015-08-16
Wind Gen(MU),7.0,42.0,35.0,0.0,0.0,85,2015-08-16
Total,901.0,838.0,743.0,347.0,38.0,2867,2015-08-16
Wind Gen(MU),15.0,36.0,12.0,0.0,0.0,63,2015-08-17
Hydro,388.0,99.0,113.0,69.0,24.0,693,2015-08-17
Total,980.0,886.0,767.0,352.0,40.0,3024,2015-08-17
Total,993.0,912.0,784.0,351.0,38.0,3078,2015-08-18
Hydro,389.0,99.0,108.0,70.0,27.0,692,2015-08-18
Wind Gen(MU),23.0,30.0,9.0,0.0,0.0,62,2015-08-18
Wind Gen(MU),26.0,38.0,18.0,0.0,0.0,82,2015-08-19
Hydro,325.0,97.0,103.0,76.0,28.0,628,2015-08-19
Total,990.0,923.0,788.0,354.0,39.0,3094,2015-08-19
Total,1012.0,933.0,791.0,359.0,36.0,3131,2015-08-20
Hydro,370.0,93.0,102.0,76.0,27.0,668,2015-08-20
Wind Gen(MU),29.0,59.0,41.0,0.0,0.0,128,2015-08-20
Hydro,368.0,92.0,91.0,80.0,27.0,658,2015-08-21
Total,1033.0,947.0,769.0,360.0,37.0,3146,2015-08-21
Wind Gen(MU),27.0,74.0,54.0,0.0,0.0,155,2015-08-21
Wind Gen(MU),25.0,75.0,58.0,0.0,0.0,158,2015-08-22
Hydro,369.0,89.0,78.0,76.0,28.0,640,2015-08-22
Total,1011.0,948.0,743.0,355.0,40.0,3097,2015-08-22
Wind Gen(MU),24.0,81.0,61.0,0.0,0.0,166,2015-08-23
Hydro,355.0,73.0,58.0,75.0,28.0,589,2015-08-23
Total,981.0,940.0,715.0,354.0,39.0,3029,2015-08-23
Total,1010.0,980.0,762.0,366.0,40.0,3158,2015-08-24
Hydro,343.0,78.0,84.0,76.0,29.0,610,2015-08-24
Wind Gen(MU),20.0,74.0,75.0,0.0,0.0,169,2015-08-24
Hydro,336.0,79.0,88.0,75.0,29.0,606,2015-08-25
Total,1061.0,988.0,794.0,364.0,42.0,3249,2015-08-25
Wind Gen(MU),19.0,65.0,83.0,0.0,0.0,167,2015-08-25
Total,1096.0,989.0,801.0,362.0,42.0,3290,2015-08-26
Wind Gen(MU),23.0,53.0,79.0,0.0,0.0,155,2015-08-26
Hydro,339.0,62.0,93.0,75.0,29.0,597,2015-08-26
Total,1094.0,995.0,790.0,370.0,40.0,3289,2015-08-27
Hydro,334.0,57.0,81.0,74.0,29.0,575,2015-08-27
Wind Gen(MU),13.0,41.0,81.0,0.0,0.0,135,2015-08-27
Hydro,335.0,50.0,69.0,79.0,28.0,561,2015-08-28
Total,1120.0,995.0,788.0,375.0,41.0,3320,2015-08-28
Wind Gen(MU),5.0,31.0,89.0,0.0,0.0,125,2015-08-28
Total,1101.0,928.0,783.0,376.0,40.0,3228,2015-08-29
Hydro,330.0,40.0,68.0,88.0,28.0,554,2015-08-29
Wind Gen(MU),13.0,32.0,84.0,0.0,0.0,129,2015-08-29
Total,1090.0,925.0,764.0,368.0,39.0,3185,2015-08-30
Hydro,316.0,41.0,64.0,85.0,29.0,534,2015-08-30
Wind Gen(MU),21.0,39.0,77.0,0.0,0.0,138,2015-08-30
Wind Gen(MU),19.0,44.0,62.0,0.0,0.0,125,2015-08-31
Hydro,325.0,39.0,85.0,78.0,29.0,556,2015-08-31
Total,1134.0,970.0,798.0,366.0,37.0,3305,2015-08-31
Hydro,319.0,39.0,92.0,83.0,26.0,558,2015-09-01
Wind Gen(MU),19.0,40.0,58.0,0.0,0.0,118,2015-09-01
Total,1123.0,987.0,812.0,368.0,38.0,3328,2015-09-01
Total,1124.0,999.0,793.0,356.0,38.0,3309,2015-09-02
Wind Gen(MU),23.0,29.0,45.0,0.0,0.0,98,2015-09-02
Hydro,315.0,46.0,86.0,81.0,24.0,552,2015-09-02
Wind Gen(MU),15.0,13.0,16.0,0.0,0.0,43,2015-09-03
Total,1114.0,1015.0,791.0,362.0,39.0,3321,2015-09-03
Hydro,314.0,46.0,98.0,79.0,24.0,561,2015-09-03
Hydro,311.0,48.0,95.0,83.0,24.0,560,2015-09-04
Wind Gen(MU),3.0,11.0,16.0,0.0,0.0,30,2015-09-04
Total,1126.0,1017.0,773.0,365.0,39.0,3320,2015-09-04
Total,1128.0,1007.0,768.0,367.0,40.0,3309,2015-09-05
Hydro,298.0,48.0,86.0,81.0,24.0,537,2015-09-05
Wind Gen(MU),9.0,16.0,8.0,0.0,0.0,34,2015-09-05
Wind Gen(MU),13.0,24.0,23.0,0.0,0.0,60,2015-09-06
Hydro,286.0,29.0,61.0,74.0,25.0,474,2015-09-06
Total,1100.0,984.0,734.0,350.0,41.0,3208,2015-09-06
Wind Gen(MU),9.0,22.0,25.0,0.0,0.0,56,2015-09-07
Hydro,287.0,50.0,64.0,80.0,25.0,506,2015-09-07
Total,1107.0,1033.0,723.0,367.0,41.0,3270,2015-09-07
Wind Gen(MU),6.0,15.0,35.0,0.0,0.0,55,2015-09-08
Hydro,276.0,52.0,61.0,75.0,23.0,487,2015-09-08
Total,1110.0,1033.0,728.0,367.0,41.0,3279,2015-09-08
Wind Gen(MU),4.0,10.0,61.0,0.0,0.0,75,2015-09-09
Total,1131.0,1028.0,739.0,375.0,43.0,3317,2015-09-09
Hydro,265.0,27.0,57.0,78.0,21.0,448,2015-09-09
Wind Gen(MU),4.0,10.0,51.0,0.0,0.0,65,2015-09-09
Total,1113.0,1033.0,739.0,374.0,42.0,3301,2015-09-09
Hydro,248.0,39.0,61.0,76.0,21.0,445,2015-09-09
Hydro,270.0,28.0,47.0,76.0,21.0,442,2015-09-09
Wind Gen(MU),6.0,13.0,39.0,0.0,0.0,57,2015-09-09
Total,1147.0,1031.0,748.0,375.0,41.0,3342,2015-09-09
Wind Gen(MU),7.0,19.0,62.0,0.0,0.0,88,2015-09-12
Hydro,283.0,25.0,43.0,71.0,21.0,442,2015-09-12
Total,1142.0,1002.0,757.0,368.0,41.0,3309,2015-09-12
Hydro,282.0,18.0,35.0,70.0,20.0,425,2015-09-13
Wind Gen(MU),11.0,25.0,71.0,0.0,0.0,106,2015-09-13
Total,1125.0,925.0,724.0,356.0,41.0,3172,2015-09-13
Hydro,289.0,20.0,37.0,67.0,20.0,431,2015-09-14
Total,1141.0,974.0,754.0,362.0,41.0,3272,2015-09-14
Wind Gen(MU),14.0,34.0,80.0,0.0,0.0,129,2015-09-14
Total,1147.0,977.0,772.0,360.0,43.0,3299,2015-09-15
Wind Gen(MU),16.0,32.0,85.0,0.0,0.0,132,2015-09-15
Hydro,282.0,25.0,41.0,68.0,19.0,435,2015-09-15
Wind Gen(MU),6.0,33.0,99.0,0.0,0.0,139,2015-09-16
Hydro,278.0,26.0,48.0,70.0,19.0,441,2015-09-16
Total,1103.0,1013.0,779.0,351.0,42.0,3288,2015-09-16
Hydro,259.0,19.0,43.0,68.0,17.0,406,2015-09-17
Wind Gen(MU),5.0,44.0,91.0,0.0,0.0,140,2015-09-17
Total,1075.0,898.0,751.0,365.0,43.0,3131,2015-09-17
Hydro,246.0,53.0,56.0,68.0,17.0,440,2015-09-18
Total,1034.0,853.0,788.0,361.0,40.0,3076,2015-09-18
Total,1082.0,875.0,772.0,359.0,44.0,3131,2015-09-18
Hydro,249.0,28.0,52.0,66.0,17.0,412,2015-09-18
Wind Gen(MU),12.0,70.0,96.0,0.0,0.0,178,2015-09-18
Wind Gen(MU),12.0,61.0,79.0,0.0,0.0,152,2015-09-18
Total,945.0,822.0,750.0,354.0,36.0,2907,2015-09-20
Hydro,242.0,44.0,47.0,65.0,18.0,416,2015-09-20
Wind Gen(MU),11.0,31.0,79.0,0.0,0.0,121,2015-09-20
Wind Gen(MU),8.0,35.0,54.0,0.0,0.0,97,2015-09-21
Hydro,243.0,38.0,61.0,66.0,19.0,427,2015-09-21
Total,940.0,835.0,771.0,351.0,40.0,2938,2015-09-21
