Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date,DayName,MonthName,Year,Quarter,Month,Season,temp_avg_karnataka
SR,Karnataka,7224,600.0,151.2,2013-06-21,Friday,June,2013,2,6,Summer,25.07180555555556
SR,Karnataka,7175,600.0,148.6,2013-06-22,Saturday,June,2013,2,6,Summer,24.689861111111114
SR,Karnataka,6841,500.0,140.7,2013-06-23,Sunday,June,2013,2,6,Summer,24.60527777777779
SR,Karnataka,7438,500.0,145.9,2013-06-24,Monday,June,2013,2,6,Summer,25.240555555555545
SR,Karnataka,6929,600.0,141.3,2013-06-25,Tuesday,June,2013,2,6,Summer,25.46388888888888
SR,Karnataka,7048,600.0,142.7,2013-06-26,Wednesday,June,2013,2,6,Summer,25.713611111111117
SR,Karnataka,7116,600.0,143.9,2013-06-27,Thursday,June,2013,2,6,Summer,25.36916666666667
SR,Karnataka,7218,650.0,148.0,2013-06-29,Saturday,June,2013,2,6,Summer,25.133888888888894
SR,Karnataka,6746,600.0,140.8,2013-06-30,Sunday,June,2013,2,6,Summer,24.36902777777778
SR,Karnataka,7004,900.0,148.8,2013-07-01,Monday,July,2013,3,7,Summer,23.87486111111111
SR,Karnataka,7235,600.0,150.4,2013-07-02,Tuesday,July,2013,3,7,Summer,24.347500000000007
SR,Karnataka,7020,450.0,147.4,2013-07-03,Wednesday,July,2013,3,7,Summer,24.341666666666665
SR,Karnataka,7250,550.0,145.0,2013-07-04,Thursday,July,2013,3,7,Summer,25.16180555555556
SR,Karnataka,7100,800.0,150.0,2013-07-05,Friday,July,2013,3,7,Summer,25.277500000000003
SR,Karnataka,7011,600.0,149.0,2013-07-06,Saturday,July,2013,3,7,Summer,24.80583333333333
SR,Karnataka,6616,450.0,137.8,2013-07-07,Sunday,July,2013,3,7,Summer,24.220555555555567
SR,Karnataka,7107,500.0,144.5,2013-07-08,Monday,July,2013,3,7,Summer,24.35513888888889
SR,Karnataka,6818,500.0,148.1,2013-07-09,Tuesday,July,2013,3,7,Summer,24.36819444444445
SR,Karnataka,7314,600.0,147.1,2013-07-10,Wednesday,July,2013,3,7,Summer,23.948055555555552
SR,Karnataka,6878,700.0,140.5,2013-07-11,Thursday,July,2013,3,7,Summer,23.847083333333334
SR,Karnataka,6642,600.0,138.8,2013-07-12,Friday,July,2013,3,7,Summer,23.739027777777775
SR,Karnataka,6618,600.0,136.2,2013-07-13,Saturday,July,2013,3,7,Summer,24.605277777777783
SR,Karnataka,6384,550.0,130.3,2013-07-14,Sunday,July,2013,3,7,Summer,24.66638888888889
SR,Karnataka,6998,500.0,141.9,2013-07-15,Monday,July,2013,3,7,Summer,24.914166666666674
SR,Karnataka,6918,500.0,141.1,2013-07-16,Tuesday,July,2013,3,7,Summer,24.408611111111117
SR,Karnataka,6956,600.0,141.4,2013-07-17,Wednesday,July,2013,3,7,Summer,24.514722222222233
SR,Karnataka,6777,600.0,138.6,2013-07-18,Thursday,July,2013,3,7,Summer,24.42125
SR,Karnataka,6745,600.0,137.0,2013-07-19,Friday,July,2013,3,7,Summer,23.862500000000008
SR,Karnataka,6736,600.0,132.5,2013-07-20,Saturday,July,2013,3,7,Summer,23.79875
SR,Karnataka,6253,300.0,124.5,2013-07-21,Sunday,July,2013,3,7,Summer,23.75097222222222
SR,Karnataka,6753,400.0,136.5,2013-07-22,Monday,July,2013,3,7,Summer,23.79319444444444
SR,Karnataka,6609,400.0,129.8,2013-07-23,Tuesday,July,2013,3,7,Summer,23.720833333333335
SR,Karnataka,6613,300.0,131.5,2013-07-24,Wednesday,July,2013,3,7,Summer,24.140555555555547
SR,Karnataka,7078,500.0,136.3,2013-07-25,Thursday,July,2013,3,7,Summer,24.249861111111116
SR,Karnataka,6640,700.0,135.0,2013-07-26,Friday,July,2013,3,7,Summer,24.009027777777778
SR,Karnataka,6047,500.0,124.0,2013-07-28,Sunday,July,2013,3,7,Summer,24.417361111111124
SR,Karnataka,6489,850.0,134.9,2013-07-29,Monday,July,2013,3,7,Summer,23.97152777777778
SR,Karnataka,6622,600.0,137.4,2013-07-30,Tuesday,July,2013,3,7,Summer,24.37750000000001
SR,Karnataka,6573,400.0,137.5,2013-07-31,Wednesday,July,2013,3,7,Summer,24.175138888888892
SR,Karnataka,6701,450.0,137.2,2013-08-01,Thursday,August,2013,3,8,Summer,24.790277777777774
SR,Karnataka,6626,700.0,140.8,2013-08-02,Friday,August,2013,3,8,Summer,24.712361111111107
SR,Karnataka,6572,500.0,140.6,2013-08-03,Saturday,August,2013,3,8,Summer,24.27083333333333
SR,Karnataka,6254,500.0,131.4,2013-08-04,Sunday,August,2013,3,8,Summer,24.74666666666667
SR,Karnataka,6544,850.0,138.2,2013-08-05,Monday,August,2013,3,8,Summer,23.850416666666657
SR,Karnataka,6750,800.0,143.0,2013-08-06,Tuesday,August,2013,3,8,Summer,23.894722222222217
SR,Karnataka,6810,1000.0,145.5,2013-08-07,Wednesday,August,2013,3,8,Summer,24.769305555555544
SR,Karnataka,6738,1100.0,147.4,2013-08-08,Thursday,August,2013,3,8,Summer,24.67430555555556
SR,Karnataka,6666,900.0,146.3,2013-08-09,Friday,August,2013,3,8,Summer,24.308333333333334
SR,Karnataka,6423,500.0,143.8,2013-08-10,Saturday,August,2013,3,8,Summer,24.381805555555555
SR,Karnataka,6511,550.0,139.2,2013-08-11,Sunday,August,2013,3,8,Summer,24.45791666666667
SR,Karnataka,6707,1000.0,144.0,2013-08-12,Monday,August,2013,3,8,Summer,24.306944444444444
SR,Karnataka,6773,1200.0,147.3,2013-08-14,Wednesday,August,2013,3,8,Summer,23.899583333333336
SR,Karnataka,7094,600.0,145.5,2013-08-15,Thursday,August,2013,3,8,Summer,23.72861111111111
SR,Karnataka,6963,600.0,141.5,2013-08-16,Friday,August,2013,3,8,Summer,23.687916666666666
SR,Karnataka,6779,300.0,139.8,2013-08-17,Saturday,August,2013,3,8,Summer,23.998472222222222
SR,Karnataka,6528,400.0,137.2,2013-08-18,Sunday,August,2013,3,8,Summer,24.10430555555555
SR,Karnataka,7063,300.0,139.8,2013-08-19,Monday,August,2013,3,8,Summer,24.37833333333333
SR,Karnataka,7267,250.0,148.6,2013-08-20,Tuesday,August,2013,3,8,Summer,24.696944444444444
SR,Karnataka,7327,350.0,153.4,2013-08-21,Wednesday,August,2013,3,8,Summer,24.634305555555557
SR,Karnataka,7549,300.0,155.4,2013-08-22,Thursday,August,2013,3,8,Summer,24.607361111111107
SR,Karnataka,7550,300.0,156.4,2013-08-23,Friday,August,2013,3,8,Summer,24.7348611111111
SR,Karnataka,7619,300.0,155.1,2013-08-24,Saturday,August,2013,3,8,Summer,24.873333333333342
SR,Karnataka,7090,400.0,147.7,2013-08-25,Sunday,August,2013,3,8,Summer,24.74986111111111
SR,Karnataka,7886,500.0,161.8,2013-08-26,Monday,August,2013,3,8,Summer,25.05166666666668
SR,Karnataka,7705,600.0,164.6,2013-08-27,Tuesday,August,2013,3,8,Summer,25.306666666666676
SR,Karnataka,7960,300.0,171.9,2013-08-30,Friday,August,2013,3,8,Summer,25.773333333333326
SR,Karnataka,7712,300.0,166.1,2013-08-31,Saturday,August,2013,3,8,Summer,25.695833333333322
SR,Karnataka,7012,350.0,150.0,2013-09-01,Sunday,September,2013,3,9,Autumn,25.66958333333334
SR,Karnataka,7254,300.0,150.5,2013-09-02,Monday,September,2013,3,9,Autumn,25.04097222222222
SR,Karnataka,6942,400.0,144.2,2013-09-03,Tuesday,September,2013,3,9,Autumn,23.771388888888886
SR,Karnataka,7116,400.0,145.8,2013-09-04,Wednesday,September,2013,3,9,Autumn,23.144861111111116
SR,Karnataka,7109,450.0,148.9,2013-09-05,Thursday,September,2013,3,9,Autumn,23.861527777777777
SR,Karnataka,7338,450.0,151.0,2013-09-06,Friday,September,2013,3,9,Autumn,23.96263888888888
SR,Karnataka,7100,300.0,146.0,2013-09-07,Saturday,September,2013,3,9,Autumn,23.670277777777777
SR,Karnataka,6260,300.0,130.0,2013-09-08,Sunday,September,2013,3,9,Autumn,23.58750000000001
SR,Karnataka,5999,400.0,119.1,2013-09-09,Monday,September,2013,3,9,Autumn,23.467222222222222
SR,Karnataka,6448,300.0,124.2,2013-09-10,Tuesday,September,2013,3,9,Autumn,23.077499999999993
SR,Karnataka,6382,300.0,126.1,2013-09-11,Wednesday,September,2013,3,9,Autumn,23.445972222222217
SR,Karnataka,6427,0.0,126.1,2013-09-12,Thursday,September,2013,3,9,Autumn,23.83166666666667
SR,Karnataka,6377,300.0,124.7,2013-09-13,Friday,September,2013,3,9,Autumn,24.52861111111111
SR,Karnataka,5757,300.0,113.4,2013-09-15,Sunday,September,2013,3,9,Autumn,24.61777777777778
SR,Karnataka,6451,300.0,124.6,2013-09-16,Monday,September,2013,3,9,Autumn,24.242499999999996
SR,Karnataka,6415,300.0,126.8,2013-09-17,Tuesday,September,2013,3,9,Autumn,24.089166666666664
SR,Karnataka,6436,300.0,127.3,2013-09-18,Wednesday,September,2013,3,9,Autumn,23.773333333333337
SR,Karnataka,6347,300.0,125.0,2013-09-19,Thursday,September,2013,3,9,Autumn,23.725416666666664
SR,Karnataka,6234,300.0,123.0,2013-09-21,Saturday,September,2013,3,9,Autumn,23.827638888888885
SR,Karnataka,5695,250.0,116.5,2013-09-22,Sunday,September,2013,3,9,Autumn,23.909722222222218
SR,Karnataka,6939,300.0,139.7,2013-09-24,Tuesday,September,2013,3,9,Autumn,23.82625
SR,Karnataka,7196,300.0,147.8,2013-09-25,Wednesday,September,2013,3,9,Autumn,24.255972222222223
SR,Karnataka,7522,0.0,152.6,2013-09-26,Thursday,September,2013,3,9,Autumn,24.564444444444447
SR,Karnataka,7598,500.0,156.7,2013-09-27,Friday,September,2013,3,9,Autumn,24.61597222222223
SR,Karnataka,7743,300.0,156.6,2013-09-28,Saturday,September,2013,3,9,Autumn,24.23486111111112
SR,Karnataka,7401,300.0,149.4,2013-09-29,Sunday,September,2013,3,9,Autumn,23.74430555555555
SR,Karnataka,7505,300.0,157.9,2013-09-30,Monday,September,2013,3,9,Autumn,23.94694444444444
SR,Karnataka,7745,300.0,158.4,2013-10-01,Tuesday,October,2013,4,10,Autumn,24.086666666666662
SR,Karnataka,6975,300.0,147.8,2013-10-02,Wednesday,October,2013,4,10,Autumn,23.8988888888889
